d_model,n_heads,e_layers,factor,dropout,lr,val_loss,best_epoch,n_params
32,2,1,3,0.4,0.001,0.0009408814174423679,2,34386
16,2,1,5,0.4,0.0005,0.0009514269421235414,3,13994
32,2,1,3,0.3,0.001,0.0009666988785291277,2,34386
32,2,1,5,0.4,0.0005,0.0009715361263386798,2,34386
32,2,1,3,0.3,0.0005,0.0009902441844163502,3,34386
16,2,1,3,0.3,0.0005,0.0010007753226438179,11,13994
32,2,1,5,0.3,0.001,0.001016595374033246,1,34386
32,2,1,5,0.3,0.0005,0.0010183070140738272,5,34386
32,2,1,5,0.4,0.001,0.001021733948374567,1,34386
16,2,1,5,0.4,0.001,0.0010237784522092517,3,13994
16,2,1,5,0.3,0.0005,0.001059251995675787,4,13994
32,2,1,3,0.4,0.0005,0.0010689156772554016,4,34386
16,2,1,3,0.3,0.001,0.0011017189941565921,4,13994
16,2,1,5,0.3,0.001,0.001121565528563409,15,13994
16,2,1,3,0.4,0.0005,0.0011407145206847587,12,13994
16,2,1,3,0.4,0.001,0.0014275438750062036,8,13994
