d_model,n_heads,e_layers,modes,version,moving_avg,dropout,wavelet_c,wavelet_k,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
64,8,2,32,Fourier,25,0.2,8,8,0.0005,random,0.5446291637814734,0.518875273107248,0.5,4,152162
64,8,2,16,Wavelets,13,0.1,8,8,0.001,random,0.5452414680367534,0.5074285171463855,0.5,5,341802
64,8,2,16,Wavelets,13,0.2,8,8,0.0005,random,0.544696008981299,0.518875273107248,0.5,2,341802
64,8,2,16,Fourier,25,0.2,8,8,0.0005,random,0.5449141004389707,0.5074285171463855,0.5,5,144994
128,8,2,16,Fourier,13,0.1,8,8,0.001,random,0.5444667967045036,0.518875273107248,0.5,9,507074
64,8,2,16,Wavelets,25,0.1,8,8,0.0005,random,0.544556046388332,0.518875273107248,0.5,5,341802
64,8,2,16,Fourier,13,0.1,8,8,0.001,refine,0.5469960916661759,0.5074285171463855,0.5,3,144994
128,8,3,16,Fourier,13,0.1,8,8,0.001,refine,0.5510991788062205,0.4925714828536145,0.5,2,704194
128,8,2,32,Fourier,13,0.1,8,8,0.001,refine,0.545158310804859,0.4925714828536145,0.5,5,535746
128,8,2,16,Wavelets,13,0.1,8,8,0.001,refine,0.5449566599173775,0.518875273107248,0.5,10,687562
128,8,2,16,Fourier,25,0.1,8,8,0.001,refine,0.5445925566956926,0.518875273107248,0.5,10,507074
128,8,2,16,Fourier,13,0.2,8,8,0.001,refine,0.5462702962377647,0.5074285171463855,0.5,10,507074
128,8,2,16,Fourier,13,0.1,8,8,0.0005,refine,0.5451573309106139,0.5074285171463855,0.5,3,507074
