d_model,n_heads,e_layers,factor,dropout,distil,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
64,8,3,3,0.1,True,0.001,random,0.5670326961233959,0.5095373800702955,0.503032256037679,4,212898
64,8,2,5,0.1,False,0.0005,random,0.5690137286012732,0.5087869288496247,0.5000067253591948,4,137954
128,8,2,5,0.2,True,0.001,random,0.5613748855895213,0.4986795858269213,0.4995001333447081,4,526146
128,4,2,5,0.1,True,0.001,random,0.5492694321980535,0.49429087109337894,0.4946632004806221,5,526146
64,4,3,5,0.2,True,0.0005,random,0.5495219558123522,0.5165859219150755,0.5044877434915929,3,212898
64,4,2,5,0.2,False,0.001,random,0.5603366839621859,0.4971406858554194,0.5009691276150083,6,137954
64,4,2,5,0.1,True,0.001,refine,0.5543933771360268,0.5127766695164815,0.49772019240980125,2,150434
128,8,2,5,0.1,True,0.001,refine,0.5503911741146552,0.49876508026978245,0.49722919332771,1,526146
128,4,3,5,0.1,True,0.001,refine,0.5752458890664155,0.5158639688420252,0.5028079801097427,5,773954
128,4,2,3,0.1,True,0.001,refine,0.580802478169267,0.5063835850669707,0.4972969193391198,2,526146
128,4,2,5,0.2,True,0.001,refine,0.5517882962664886,0.5090529115607485,0.5026959480433969,5,526146
128,4,2,5,0.1,False,0.001,refine,0.5715076298685148,0.5023843450175738,0.49994780915803594,6,476610
128,4,2,5,0.1,True,0.0005,refine,0.576659668199672,0.49987650802697825,0.502675177835642,2,526146
