hidden_size,n_layers,dropout,lr,phase,val_loss,best_epoch,n_params
16,2,0.5,0.001,random,0.0009692797318118696,1,12762
128,2,0.5,0.0005,random,0.0009839003539195547,1,281282
16,2,0.3,0.0005,random,0.0010133057202335405,3,12762
64,2,0.4,0.0005,random,0.001015404931681204,1,89442
64,2,0.5,0.0005,random,0.0010163857951754369,1,89442
16,1,0.3,0.001,random,0.0010207618656309118,12,10586
128,2,0.4,0.0005,random,0.001026012288630068,1,281282
32,2,0.5,0.0005,random,0.0010344512854659831,3,31922
16,2,0.5,0.0005,random,0.00103732746628236,5,12762
32,2,0.4,0.0005,random,0.0010394373483325107,2,31922
64,2,0.5,0.001,refine,0.0010452341672924418,1,89442
16,2,0.4,0.0005,random,0.0010547122499048236,12,12762
32,2,0.4,0.001,random,0.0010689449180450604,2,31922
128,2,0.5,0.001,random,0.0010983529554336481,1,281282
16,2,0.3,0.001,refine,0.0011043244621543205,4,12762
32,2,0.5,0.001,refine,0.00111052264486823,3,31922
128,2,0.4,0.001,random,0.0011174676975750607,1,281282
128,2,0.3,0.001,random,0.001120532101793111,11,281282
128,1,0.5,0.0005,random,0.0011285120583937425,1,149186
16,2,0.4,0.001,refine,0.0011303404903939566,2,12762
128,1,0.3,0.001,random,0.0011543850773510142,1,149186
128,1,0.4,0.0005,random,0.0011667008248908485,1,149186
64,1,0.5,0.0005,random,0.001168737990488498,2,56162
16,1,0.5,0.001,random,0.0011718111328887257,8,10586
128,1,0.4,0.001,random,0.001187117735149016,1,149186
32,1,0.4,0.001,random,0.0012024823137202162,3,23474
64,1,0.5,0.001,random,0.0012177474961863365,2,56162
32,1,0.3,0.001,random,0.0012723738534912018,5,23474
64,1,0.4,0.0005,random,0.0012742989707296931,3,56162
32,1,0.5,0.0005,random,0.0012868686922676328,6,23474
32,1,0.4,0.0005,random,0.0013104207000868404,7,23474
16,1,0.3,0.0005,random,0.0013733692989138285,15,10586
16,1,0.4,0.0005,random,0.0014471312561361133,19,10586
16,1,0.5,0.0005,random,0.0015268784197008855,17,10586
